Station,K.12,K.31,K.32A,K.57,K.2B,K.61,K.62,K.55A,K.37,K.11A,K.3A,K.35A,K.10,K.58,K.32A,K.49,K.54,เขื่อนลำพระเพลิง,เขื่อนศรีนครินทร์,เขื่อนวชิราลงกรณ์
Model,MK,MK,MK,MK,MK,MK,MK,MK,MK,MK,MK,MK,MK,MK,MK,MK,MK,MK,MK,MK
Iorder,802,1231,1190,1609,1606,1354,1374,1599,1383,1592,1591,1588,1245,1241,1190,793,1075,788,1578,1066
Part,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
2025-10-05,19.46,11.5,5.01,44.08,24.22,16.2,22.43,6.56,149.76,201.0,196.91,41.73,115.7,112.05,5.01,7.8,68.23,7.02,305.76,210.06
2025-10-06,17.5,10.04,3.31,37.88,22.17,12.3,17.96,5.85,138.87,188.14,183.08,36.93,105.95,102.82,3.31,7.1,66.85,4.51,297.2,204.68
2025-10-07,18.43,8.66,6.35,32.15,20.39,9.86,14.3,5.26,129.42,174.88,170.3,34.25,103.41,99.37,6.35,7.44,65.21,5.19,287.14,191.17
2025-10-08,16.45,9.83,2.65,29.13,19.41,8.64,12.19,4.98,122.1,164.39,159.99,31.66,98.16,96.4,2.65,6.28,63.09,4.33,284.21,195.44
2025-10-09,18.7,15.76,5.15,27.92,18.96,8.21,11.36,4.98,123.31,163.57,159.88,32.72,104.94,102.92,5.15,6.96,62.93,4.52,289.04,211.93
2025-10-10,17.11,16.04,6.23,27.42,18.73,8.17,11.15,5.02,127.43,166.49,163.11,32.5,107.92,106.95,6.23,6.65,62.54,3.83,283.41,225.95
2025-10-11,17.78,16.58,8.68,27.21,18.69,8.54,11.36,5.07,130.9,171.76,168.52,33.92,112.37,109.27,8.68,7.36,63.34,4.62,285.73,244.69
2025-10-12,17.68,18.39,8.55,27.94,19.55,8.65,11.69,5.58,136.51,177.79,174.24,33.67,116.58,115.46,8.55,6.95,64.25,4.62,297.1,260.33
2025-10-13,18.94,21.17,11.2,32.15,22.11,10.2,13.67,6.37,148.62,192.6,189.78,38.69,128.31,126.54,11.2,8.08,69.09,6.91,317.11,270.37
2025-10-14,18.9,19.76,9.67,35.22,23.06,11.39,15.05,6.37,152.87,200.96,197.52,40.94,126.57,124.49,9.67,7.41,68.81,5.96,305.15,261.56
2025-10-15,19.46,14.53,10.21,35.8,23.34,11.36,15.03,6.35,149.65,200.06,195.8,40.39,122.71,120.82,10.21,7.87,69.77,7.02,305.43,244.02
2025-10-16,17.82,13.13,7.91,35.02,22.94,11.69,15.16,6.24,146.31,194.46,189.91,37.44,118.78,117.04,7.91,7.19,70.3,4.88,290.51,234.47
2025-10-17,18.39,12.63,6.97,33.96,22.35,11.51,15.08,6.08,141.57,188.28,184.12,36.76,115.17,113.62,6.97,7.59,70.56,6.28,278.22,222.27
2025-10-18,17.84,10.31,6.06,32.41,21.49,10.46,14.27,5.8,137.63,181.82,177.87,34.7,111.5,110.11,6.06,7.02,69.93,4.95,262.62,201.95
2025-10-19,19.75,10.39,4.76,33.56,22.01,10.81,14.44,6.01,133.63,178.85,174.82,35.47,108.48,105.81,4.76,7.51,68.0,5.27,258.84,199.85
2025-10-20,16.93,10.19,6.45,35.74,22.51,13.01,16.82,6.04,137.11,181.66,177.64,36.37,110.27,106.58,6.45,6.95,66.28,4.87,257.53,186.75
